,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
1216,2,52.0,100.0,0,1,1.0,4.93,1,0,43
1217,2,148.0,100.0,0,2,1.0,5.0,1,1,50
1222,2,95.0,50.0,0,1,1.0,4.91,1,0,50
1223,2,95.0,50.0,0,1,1.0,4.8,1,0,50
1228,2,79.0,83.0,1,2,1.0,4.93,1,0,50
1231,2,130.0,87.0,1,2,1.0,4.92,1,0,57
1237,2,100.0,59.0,0,1,1.0,4.96,1,0,57
1238,2,60.0,45.0,0,2,1.0,4.17,1,0,57
1239,2,130.0,100.0,0,2,1.0,5.0,1,0,37
1241,2,32.0,100.0,1,2,1.0,3.53,1,0,50
1242,2,33.0,100.0,1,2,1.0,4.03,1,0,50
1243,2,32.0,100.0,1,2,1.0,3.97,1,0,50
1244,2,90.0,50.0,0,1,1.0,4.47,1,0,49
1245,2,50.0,92.0,1,2,1.0,4.81,0,0,50
1249,2,94.0,93.0,1,2,1.0,4.95,1,0,50
1252,2,150.0,97.0,0,1,1.0,4.8,0,0,57
1257,2,59.0,92.0,1,2,1.0,4.75,0,0,50
1260,2,41.0,92.0,1,1,1.0,4.7,0,0,50
1269,2,150.0,97.0,0,1,1.5,4.8,0,0,53
1284,2,150.0,97.0,0,2,3.0,1.0,0,0,57
1287,2,150.0,97.0,0,1,1.0,4.8,0,0,57
1291,2,150.0,97.0,0,1,1.0,5.0,0,0,57
1292,2,75.0,97.0,0,2,1.0,4.8,1,0,53
1298,2,78.0,100.0,1,2,1.0,4.72,1,1,50
1299,2,85.0,100.0,0,1,1.0,4.94,1,0,43
1302,2,159.0,100.0,1,2,1.0,5.0,0,1,50
1303,2,150.0,77.0,0,2,1.0,4.8,1,0,50
1306,2,245.0,98.0,1,5,1.0,4.86,1,0,50
1309,2,230.0,97.0,0,1,1.0,4.8,1,0,50
1310,2,150.0,97.0,0,2,1.0,4.68,1,0,50
1313,2,150.0,97.0,0,1,2.5,4.8,1,0,57
1316,2,150.0,97.0,0,2,2.0,3.9,1,0,57
1318,2,75.0,100.0,1,2,1.0,4.77,1,0,50
1320,2,150.0,97.0,0,2,1.0,4.42,1,0,50
1333,2,50.0,80.0,0,2,11.0,4.13,1,0,72
1334,2,49.0,80.0,0,2,11.0,4.71,1,0,70
1337,2,170.0,100.0,1,2,1.0,4.83,1,0,50
1338,2,150.0,97.0,0,2,1.0,5.0,0,0,57
1342,2,150.0,97.0,0,1,1.0,4.8,1,0,50
1344,2,100.0,100.0,1,2,1.0,4.82,1,0,43
1347,2,150.0,97.0,0,3,1.0,4.8,1,0,57
1350,2,110.0,98.0,0,2,1.0,4.89,1,0,48
1351,2,90.0,97.0,0,2,1.0,2.5,1,0,50
1352,2,171.0,97.0,0,2,1.5,4.8,1,0,50
1355,2,150.0,97.0,0,6,1.5,0.0,0,0,50
1356,2,79.0,75.0,1,1,1.0,4.93,0,0,43
1360,2,150.0,97.0,0,1,1.0,4.8,1,0,53
1361,2,150.0,100.0,0,3,1.0,4.74,1,0,50
1362,2,150.0,97.0,0,1,1.0,4.8,1,0,50
1366,2,150.0,97.0,0,2,0.5,4.8,1,0,57
1368,2,92.0,0.0,0,1,1.0,4.5,0,0,57
1369,2,64.0,93.0,1,2,1.0,4.78,1,1,50
1370,2,60.0,100.0,0,1,1.5,4.67,1,0,57
1373,2,88.0,97.0,0,2,1.0,4.82,1,0,49
1376,2,150.0,97.0,0,1,2.0,4.8,0,0,50
1383,2,90.0,93.0,1,2,1.0,4.92,1,0,43
1384,2,80.0,93.0,1,2,1.0,4.89,1,0,43
1391,2,150.0,97.0,0,2,1.0,4.87,1,0,62
1398,2,150.0,97.0,0,2,1.0,5.0,1,0,50
1409,2,99.0,97.0,0,1,2.0,4.95,1,0,57
1411,2,150.0,97.0,0,1,1.0,4.0,1,0,57
1413,2,198.0,100.0,1,2,1.0,4.84,1,1,50
1415,2,150.0,97.0,0,2,1.0,4.8,1,0,50
1420,2,150.0,97.0,0,2,2.0,5.0,1,0,50
1428,2,97.0,99.0,1,2,1.0,4.84,1,0,33
1433,2,150.0,57.0,1,2,1.0,4.89,1,0,57
1434,2,398.0,67.0,0,4,1.5,5.0,1,0,43
1435,2,150.0,97.0,0,2,1.5,3.81,1,0,50
1436,2,140.0,98.0,1,2,1.0,4.96,1,0,50
1437,2,74.0,85.0,1,2,1.0,4.93,1,0,50
1442,2,150.0,97.0,0,2,1.0,4.8,1,0,57
1443,2,83.0,92.0,1,2,1.0,4.92,1,0,50
1445,2,50.0,99.0,1,1,1.0,4.91,1,0,33
1451,2,45.0,100.0,0,1,2.0,4.77,1,0,50
1463,2,114.0,90.0,0,2,1.0,4.53,1,0,37
1468,2,67.0,97.0,0,2,1.0,5.0,1,0,50
1471,2,65.0,86.0,1,1,2.0,4.92,1,0,50
1472,2,51.0,100.0,1,1,1.0,4.28,1,0,50
1473,2,86.0,98.0,1,1,1.0,4.93,1,0,50
1477,2,150.0,97.0,0,3,1.0,4.76,1,1,57
1485,2,150.0,97.0,0,3,1.5,3.42,1,0,50
1497,2,82.0,94.0,1,3,1.0,4.75,1,0,50
1500,2,150.0,97.0,0,1,2.0,4.8,1,0,50
1502,2,210.0,100.0,0,6,2.0,5.0,0,0,50
1507,2,150.0,97.0,0,2,1.0,4.8,1,0,57
1509,2,85.0,99.0,0,2,1.0,4.67,1,0,57
1515,2,101.0,100.0,0,1,1.0,4.82,1,0,48
1521,2,140.0,100.0,0,2,1.0,4.92,0,0,50
1523,2,93.0,100.0,0,2,1.0,4.97,1,0,50
1524,2,130.0,82.0,0,2,1.0,5.0,1,0,50
1529,2,150.0,97.0,0,2,1.0,5.0,1,0,65
1530,2,150.0,97.0,0,2,1.0,4.8,1,0,50
1532,2,120.0,100.0,0,2,1.0,4.73,1,0,65
